HDI_Rank,Pays,HDI_Valeur,Esperance_vie,Annees_scolarisation_attendues,Annees_scolarisation_moyennes,RNB_par_habitant,RNB_moins_HDI_rank,HDI_rank_2022
135.0,Cabo Verde,0.668,76.059,11.36709717,6.09003905,8165.379172,-7,135
143.0,Ghana,0.628,65.498,11.41845989,7.107210159,6846.352204,-8,144
157.0,Côte d'Ivoire,0.582,61.944,11.41112995,4.869999886,6735.416265,-21,162
161.0,Togo,0.571,62.739,13.09642387,5.861114619,2855.963828,9,161
163.0,Mauritania,0.563,68.484,7.949540636,4.852025862,6267.470808,-23,163
164.0,Nigeria,0.56,54.462,10.51407,7.585969925,5569.374975,-16,164
169.0,Senegal,0.53,68.683,9.142709732,2.934554012,4202.030729,-12,169
170.0,Gambia,0.524,65.86,8.977899686,4.674727154,2812.017602,1,170
173.0,Benin,0.515,60.774,10.4464798,3.194200039,3805.527516,-13,174
174.0,Guinea-Bissau,0.514,64.085,10.63534621,3.673035,2403.059237,2,175
177.0,Liberia,0.51,62.163,10.46585369,6.169891955,1537.85939,9,177
179.0,Guinea,0.5,60.74,10.39330626,2.486339025,3494.347723,-16,179
185.0,Sierra Leone,0.467,61.786,9.064124575,3.535297609,1713.727772,-3,185
186.0,Burkina Faso,0.459,61.092,8.733340263,2.266550064,2390.527778,-9,186
188.0,Mali,0.419,60.439,7.011331533,1.629999995,2341.588118,-10,188
188.0,Niger,0.419,61.183,8.308919801,1.412289341,1590.18796,-3,189
